Setting logging level to INFO
2025-07-27 14:26:10.898+07:00 | main | INFO  | LogBloomCacheMetadata | Lookup cache metadata file in data directory: /home/ganendra/besu-25.4.0-qbft-ondemandd (Copy)/qbftnetwork/node0/data/caches
2025-07-27 14:26:10.929+07:00 | main | INFO  | Runner | Starting Ethereum main loop ... 
2025-07-27 14:26:10.930+07:00 | main | INFO  | NatService | No NAT environment detected so no service could be started
2025-07-27 14:26:10.930+07:00 | main | INFO  | NetworkRunner | Starting Network.
2025-07-27 14:26:10.970+07:00 | nioEventLoopGroup-2-1 | INFO  | RlpxAgent | P2P RLPx agent started and listening on /[0:0:0:0:0:0:0:0]:30303.
2025-07-27 14:26:10.978+07:00 | main | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30303. IPv6 available.
2025-07-27 14:26:11.029+07:00 | vert.x-eventloop-thread-1 | INFO  | VertxPeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0:0:0:0:0:0:0:0 and port=30303
2025-07-27 14:26:11.033+07:00 | vert.x-eventloop-thread-1 | INFO  | PeerDiscoveryAgent | P2P peer discovery agent started and listening on /[0:0:0:0:0:0:0:0]:30303
2025-07-27 14:26:11.230+07:00 | vert.x-eventloop-thread-1 | INFO  | PeerDiscoveryAgent | Writing node record to disk. NodeRecord{seq=2, publicKey=0x034276719bf36ef44587a2a3338ff04f2db6ebd1b58006340a0f2a0edc3f6dde9b, udpAddress=Optional[/127.0.0.1:30303], tcpAddress=Optional[/127.0.0.1:30303], udp6Address=Optional.empty, tcp6Address=Optional.empty, asBase64=-Je4QMoQr148n5vhqNIkpD1hhVjxYZKeQ9zcwd0Bx0YXCn9qZJ-mTeA7Hg13mkfiT3z5D8cBBo4srYkz3NDZlawYv94Cg2V0aMfGhH6MIgyAgmlkgnY0gmlwhH8AAAGJc2VjcDI1NmsxoQNCdnGb8270RYeiozOP8E8ttuvRtYAGNAoPKg7cP23em4N0Y3CCdl-DdWRwgnZf, nodeId=0x5d8718bdf4827d9aecd5d6cc2e37e2b7a50b5b66aea67c23bd7a8ab4d64067d0, customFields={tcp=30303, udp=30303, eth=[[0x7e8c220c, 0x]], id=V4, ip=0x7f000001, secp256k1=0x034276719bf36ef44587a2a3338ff04f2db6ebd1b58006340a0f2a0edc3f6dde9b}}
2025-07-27 14:26:11.342+07:00 | main | INFO  | DefaultP2PNetwork | Enode URL enode://4276719bf36ef44587a2a3338ff04f2db6ebd1b58006340a0f2a0edc3f6dde9b0dc7a2348b68020672e0db76e31f5053c4217053d9965fe5934c216f09e1f0a9@127.0.0.1:30303
2025-07-27 14:26:11.342+07:00 | main | INFO  | DefaultP2PNetwork | Node address 0x2e37e2b7a50b5b66aea67c23bd7a8ab4d64067d0
2025-07-27 14:26:11.393+07:00 | main | INFO  | NetworkRunner | Supported capabilities: [eth/66, eth/67, eth/68, eth/69], [istanbul/100], [snap/1]
2025-07-27 14:26:11.399+07:00 | main | INFO  | DefaultSynchronizer | Starting synchronizer.
2025-07-27 14:26:11.422+07:00 | main | INFO  | TransactionPoolFactory | Enabling transaction handling following initial sync
2025-07-27 14:26:11.515+07:00 | main | INFO  | BftMiningCoordinator | Starting BFT mining coordinator following initial sync
2025-07-27 14:26:11.613+07:00 | main | INFO  | FullSyncDownloader | Starting full sync.
2025-07-27 14:26:11.614+07:00 | main | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 1 peers minimum. Currently checking 0 peers for usefulness
2025-07-27 14:26:11.639+07:00 | main | INFO  | Runner | Ethereum main loop is up.
2025-07-27 14:26:16.085+07:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftRound | Importing proposed block to chain. round=ConsensusRoundIdentifier{Sequence=4, Round=1}, hash=0x2d2dc545e8e2db917c37322fb14c8bdc1f015b049adbb97bdf6893d5c14b57b1
2025-07-27 14:26:16.221+07:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported empty block #4 / 0 tx / 0 pending / 0 (0,0%) gas / (0x2d2dc545e8e2db917c37322fb14c8bdc1f015b049adbb97bdf6893d5c14b57b1)
2025-07-27 14:26:18.253+07:00 | BftProcessorExecutor-QBFT-0 | INFO  | BftProcessor | Shutting down BFT event processor
2025-07-27 14:26:18.254+07:00 | BesuCommand-Shutdown-Hook | INFO  | DefaultSynchronizer | Stopping synchronizer
2025-07-27 14:26:18.256+07:00 | BesuCommand-Shutdown-Hook | INFO  | NetworkRunner | Stopping Network.
2025-07-27 14:26:18.272+07:00 | BesuCommand-Shutdown-Hook | INFO  | EthProtocolManager | Stopping eth Subprotocol.
2025-07-27 14:26:18.275+07:00 | BesuCommand-Shutdown-Hook | INFO  | EthProtocolManager | eth Subprotocol stopped.
2025-07-27 14:26:18.276+07:00 | BesuCommand-Shutdown-Hook | INFO  | NetworkRunner | Network stopped.
2025-07-27 14:26:18.276+07:00 | BesuCommand-Shutdown-Hook | INFO  | AutoTransactionLogBloomCachingService | Shutting down Auto transaction logs caching service.
2025-07-27 14:26:18.277+07:00 | BesuCommand-Shutdown-Hook | INFO  | NatService | No NAT environment detected so no service could be stopped
