Setting logging level to INFO
2025-07-27 14:25:59.752+07:00 | main | INFO  | Besu | Starting Besu
2025-07-27 14:26:01.364+07:00 | main | WARN  | Besu | PoW consensus is deprecated. See CHANGELOG for alternative options.
2025-07-27 14:26:02.302+07:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2025-07-27 14:26:02.338+07:00 | main | WARN  | Besu | Forcing tx-pool-min-gas-price=10, since it cannot be greater than the value of min-gas-price
2025-07-27 14:26:02.796+07:00 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version 25.7.0                                                                              #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file                                                                     #
# /home/ganendra/besu-25.4.0-qbft-ondemandd (Copy)/qbftnetwork/node2/../genesi                     #
# s.json                                                                                           #
# Network Id: 1337                                                                                 #
# Data storage: Bonsai                                                                             #
# Sync mode: Snap                                                                                  #
# Sync min peers: 1                                                                                #
# RPC HTTP APIs: ETH,NET,QBFT,ADMIN,DEBUG                                                          #
# RPC HTTP port: 8547                                                                              #
# Using LAYERED transaction pool implementation                                                    #
# Using STACKED worldstate update mode                                                             #
# Limit trie logs enabled: retention: 512; prune window: 5000                                      #
#                                                                                                  #
# Host:                                                                                            #
# Java: openjdk-java-21                                                                            #
# Maximum heap size: 2,73 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.41                                                                                      #
# jemalloc: 5.3.0-0-g54eaed1d8b56b1aa528be3bdd1877e59c56fa90c                                      #
# Total memory: 10,93 GB                                                                           #
# CPU cores: 4                                                                                     #
#                                                                                                  #
# Plugin Registration Summary:                                                                     #
# No plugins have been registered.                                                                 #
# TOTAL = 0 of 0 plugins successfully registered.                                                  #
#                                                                                                  #
####################################################################################################
2025-07-27 14:26:02.803+07:00 | main | INFO  | Besu | Security Module: localfile
2025-07-27 14:26:02.809+07:00 | main | INFO  | VersionMetadata | Lookup version metadata file in data directory: /home/ganendra/besu-25.4.0-qbft-ondemandd (Copy)/qbftnetwork/node2/data
2025-07-27 14:26:03.055+07:00 | main | INFO  | VersionMetadata | Existing version data detected. Besu version 25.4.0
2025-07-27 14:26:03.076+07:00 | main | INFO  | VersionMetadata | Besu version 25.7.0 is higher than version 25.4.0 that last started. Updating version metadata.
2025-07-27 14:26:03.334+07:00 | main | INFO  | Besu | Using the native implementation of alt bn128
2025-07-27 14:26:03.336+07:00 | main | INFO  | Besu | Using the Java implementation of modexp
2025-07-27 14:26:03.347+07:00 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2025-07-27 14:26:03.359+07:00 | main | INFO  | Besu | Using the native implementation of the blake2bf algorithm
2025-07-27 14:26:03.724+07:00 | main | WARN  | Besu | Forcing tx-pool-min-gas-price=10, since it cannot be greater than the value of min-gas-price
2025-07-27 14:26:03.745+07:00 | main | INFO  | KeyPairUtil | Attempting to load public key from /home/ganendra/besu-25.4.0-qbft-ondemandd (Copy)/qbftnetwork/node2/data/key
2025-07-27 14:26:03.942+07:00 | main | INFO  | KeyPairUtil | Loaded public key 0xc22ba10e0fe2502a0869a3216fdff90947570cd0a02f1ecdf19985aa314bcf1fa2f7477c733fac12a9e020905c247d7b800865df116e7cd09c1d30acd29b47c6 from /home/ganendra/besu-25.4.0-qbft-ondemandd (Copy)/qbftnetwork/node2/data/key
2025-07-27 14:26:05.494+07:00 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [Berlin:0]
2025-07-27 14:26:05.505+07:00 | main | INFO  | DatabaseMetadata | Lookup database metadata file in data directory: /home/ganendra/besu-25.4.0-qbft-ondemandd (Copy)/qbftnetwork/node2/data
2025-07-27 14:26:05.724+07:00 | main | INFO  | RocksDBKeyValueStorageFactory | Existing database at /home/ganendra/besu-25.4.0-qbft-ondemandd (Copy)/qbftnetwork/node2/data. Metadata versionedStorageFormat=BaseVersionedStorageFormat{format=BONSAI, version=3}. Processing WAL...
2025-07-27 14:26:08.130+07:00 | main | INFO  | FlatDbStrategyProvider | Flat db mode found FULL
2025-07-27 14:26:08.164+07:00 | main | INFO  | FlatDbStrategyProvider | DB mode with code stored using code hash enabled = true
2025-07-27 14:26:08.292+07:00 | main | INFO  | FlatDbStrategyProvider | Flat db mode found FULL
2025-07-27 14:26:08.294+07:00 | main | INFO  | FlatDbStrategyProvider | DB mode with code stored using code hash enabled = true
2025-07-27 14:26:08.993+07:00 | main | INFO  | TransactionPoolFactory | Transaction pool disabled while initial sync in progress
2025-07-27 14:26:09.038+07:00 | main | INFO  | BesuControllerBuilder | QBFT is configured, creating initial sync for BFT
2025-07-27 14:26:09.062+07:00 | main | INFO  | BFTPivotSelectorFromPeers | Creating pivot block selector for BFT node
2025-07-27 14:26:09.186+07:00 | main | INFO  | SnapDownloaderFactory | Snap sync was requested, but cannot be enabled because the local blockchain is not empty.
2025-07-27 14:26:09.370+07:00 | main | INFO  | TrieLogPruner | Trie log pruner queue preload starting...
2025-07-27 14:26:09.377+07:00 | main | INFO  | TrieLogPruner | Attempting to load first 5000 trie logs from database...
2025-07-27 14:26:09.383+07:00 | main | INFO  | TrieLogPruner | Trie log pruning will timeout after 30 seconds. If this is timing out, consider using `besu storage trie-log prune` subcommand, see https://besu.hyperledger.org/public-networks/how-to/bonsai-limit-trie-logs
2025-07-27 14:26:09.396+07:00 | pool-10-thread-1 | INFO  | TrieLogPruner | Added 4 trie logs to prune queue. Commencing pruning of eligible trie logs...
2025-07-27 14:26:09.445+07:00 | pool-10-thread-1 | INFO  | TrieLogPruner | Pruned 0 trie logs
2025-07-27 14:26:09.452+07:00 | main | INFO  | TrieLogPruner | Trie log pruner queue preload complete.
2025-07-27 14:26:09.454+07:00 | main | INFO  | RunnerBuilder | Resolved 1 bootnodes.
2025-07-27 14:26:09.561+07:00 | main | INFO  | RunnerBuilder | Detecting NAT service.
2025-07-27 14:26:10.496+07:00 | main | INFO  | Runner | Starting external services ... 
2025-07-27 14:26:10.500+07:00 | main | INFO  | JsonRpcHttpService | Starting JSON-RPC service on 0.0.0.0:8547
2025-07-27 14:26:10.967+07:00 | vert.x-eventloop-thread-1 | INFO  | JsonRpcHttpService | JSON-RPC service started and listening on 0.0.0.0:8547
2025-07-27 14:26:10.979+07:00 | main | INFO  | AutoTransactionLogBloomCachingService | Starting auto transaction log bloom caching service.
2025-07-27 14:26:10.982+07:00 | main | INFO  | LogBloomCacheMetadata | Lookup cache metadata file in data directory: /home/ganendra/besu-25.4.0-qbft-ondemandd (Copy)/qbftnetwork/node2/data/caches
2025-07-27 14:26:11.010+07:00 | main | INFO  | Runner | Starting Ethereum main loop ... 
2025-07-27 14:26:11.010+07:00 | main | INFO  | NatService | No NAT environment detected so no service could be started
2025-07-27 14:26:11.010+07:00 | main | INFO  | NetworkRunner | Starting Network.
2025-07-27 14:26:11.101+07:00 | nioEventLoopGroup-2-1 | INFO  | RlpxAgent | P2P RLPx agent started and listening on /[0:0:0:0:0:0:0:0]:30305.
2025-07-27 14:26:11.108+07:00 | main | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30305. IPv6 available.
2025-07-27 14:26:11.185+07:00 | vert.x-eventloop-thread-1 | INFO  | VertxPeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0:0:0:0:0:0:0:0 and port=30305
2025-07-27 14:26:11.187+07:00 | main | INFO  | PeerDiscoveryAgent | P2P peer discovery agent started and listening on /[0:0:0:0:0:0:0:0]:30305
2025-07-27 14:26:11.355+07:00 | main | INFO  | PeerDiscoveryAgent | Writing node record to disk. NodeRecord{seq=2, publicKey=0x02c22ba10e0fe2502a0869a3216fdff90947570cd0a02f1ecdf19985aa314bcf1f, udpAddress=Optional[/127.0.0.1:30305], tcpAddress=Optional[/127.0.0.1:30305], udp6Address=Optional.empty, tcp6Address=Optional.empty, asBase64=-Je4QAt6KYf7bjv85hSDYMpYi56cBICDFZzqqhyjcLbcA2k9Bgu21wBSfxhp923EgGnqdgBWrK6B0O7SlWef2rfYVQMCg2V0aMfGhH6MIgyAgmlkgnY0gmlwhH8AAAGJc2VjcDI1NmsxoQLCK6EOD-JQKghpoyFv3_kJR1cM0KAvHs3xmYWqMUvPH4N0Y3CCdmGDdWRwgnZh, nodeId=0xf7c91f87aa58b98ce950c9fb40d0e13e7eddc4fe0e4447b2f5f04ce2695a7a9b, customFields={tcp=30305, udp=30305, eth=[[0x7e8c220c, 0x]], id=V4, ip=0x7f000001, secp256k1=0x02c22ba10e0fe2502a0869a3216fdff90947570cd0a02f1ecdf19985aa314bcf1f}}
2025-07-27 14:26:11.475+07:00 | main | INFO  | DefaultP2PNetwork | Enode URL enode://c22ba10e0fe2502a0869a3216fdff90947570cd0a02f1ecdf19985aa314bcf1fa2f7477c733fac12a9e020905c247d7b800865df116e7cd09c1d30acd29b47c6@127.0.0.1:30305
2025-07-27 14:26:11.475+07:00 | main | INFO  | DefaultP2PNetwork | Node address 0x40d0e13e7eddc4fe0e4447b2f5f04ce2695a7a9b
2025-07-27 14:26:11.540+07:00 | main | INFO  | NetworkRunner | Supported capabilities: [eth/66, eth/67, eth/68, eth/69], [istanbul/100], [snap/1]
2025-07-27 14:26:11.541+07:00 | main | INFO  | DefaultSynchronizer | Starting synchronizer.
2025-07-27 14:26:11.549+07:00 | main | INFO  | TransactionPoolFactory | Enabling transaction handling following initial sync
2025-07-27 14:26:11.642+07:00 | main | INFO  | BftMiningCoordinator | Starting BFT mining coordinator following initial sync
2025-07-27 14:26:11.763+07:00 | main | INFO  | FullSyncDownloader | Starting full sync.
2025-07-27 14:26:11.770+07:00 | main | INFO  | FullSyncTargetManager | Unable to find sync target. Waiting for 1 peers minimum. Currently checking 0 peers for usefulness
2025-07-27 14:26:11.803+07:00 | main | INFO  | Runner | Ethereum main loop is up.
2025-07-27 14:26:16.057+07:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftRound | Importing proposed block to chain. round=ConsensusRoundIdentifier{Sequence=4, Round=1}, hash=0x2d2dc545e8e2db917c37322fb14c8bdc1f015b049adbb97bdf6893d5c14b57b1
2025-07-27 14:26:16.141+07:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported empty block #4 / 0 tx / 0 pending / 0 (0,0%) gas / (0x2d2dc545e8e2db917c37322fb14c8bdc1f015b049adbb97bdf6893d5c14b57b1)
2025-07-27 14:26:18.155+07:00 | BftProcessorExecutor-QBFT-0 | INFO  | BftProcessor | Shutting down BFT event processor
2025-07-27 14:26:18.158+07:00 | BesuCommand-Shutdown-Hook | INFO  | DefaultSynchronizer | Stopping synchronizer
2025-07-27 14:26:18.165+07:00 | BesuCommand-Shutdown-Hook | INFO  | NetworkRunner | Stopping Network.
2025-07-27 14:26:18.219+07:00 | BesuCommand-Shutdown-Hook | INFO  | EthProtocolManager | Stopping eth Subprotocol.
2025-07-27 14:26:18.220+07:00 | BesuCommand-Shutdown-Hook | INFO  | EthProtocolManager | eth Subprotocol stopped.
